ds,sales,sale_1,sale_2,sale_3,promo_1,promo_2,promo_3,promo_4,fd
2016/1/14,"404,194",1,1,1,0,0,0,0,0
2016/1/15,"601,572",1,1,1,0,0,0,0,0
2016/1/16,"626,241",1,1,1,0,0,0,0,0
2016/1/17,"601,492",1,1,1,0,0,0,0,0
2016/1/18,"384,029",1,1,1,0,0,0,0,0
2016/1/19,"2,025,143",1,1,1,0,0,1,0,1
2016/1/20,"1,516,833",1,1,1,0,0,1,0,0
2016/1/21,"1,051,757",1,1,1,0,0,1,0,0
2016/1/22,"1,094,688",1,1,1,0,0,1,0,0
2016/1/23,"488,529",1,1,1,0,0,0,0,0
2016/1/24,"322,871",1,1,1,0,0,0,0,0
2016/1/25,"313,128",1,1,1,0,0,0,0,0
2016/1/26,"442,664",1,1,1,0,0,0,0,0
2016/1/27,"439,131",1,1,1,0,0,0,0,0
2016/1/28,"429,549",1,1,1,0,0,0,0,0
2016/1/29,"644,437",1,1,1,0,0,0,0,0
2016/1/30,"493,269",1,1,1,0,0,0,0,0
2016/1/31,"420,945",1,1,1,0,0,0,0,0
2016/2/1,"374,990",0,0,0,0,0,0,0,0
2016/2/2,"318,800",0,0,0,0,0,0,0,0
2016/2/3,"1,614,210",0,0,0,0,0,0,0,0
2016/2/4,"734,271",0,0,0,0,0,0,0,0
2016/2/5,"624,148",0,0,0,0,0,0,0,0
2016/2/6,"645,204",0,0,0,0,0,0,0,0
2016/2/7,"632,246",0,0,0,0,0,0,0,0
2016/2/8,"616,342",0,0,0,0,0,0,0,0
2016/2/9,"619,281",0,0,0,0,0,0,0,0
2016/2/10,"624,789",0,0,0,0,0,0,0,0
2016/2/11,"818,261",0,0,0,0,0,0,0,0
2016/2/12,"507,081",0,0,0,0,0,0,0,0
2016/2/13,"283,211",0,0,0,0,0,0,0,0
2016/2/14,"217,027",0,0,0,0,0,0,0,0
2016/2/15,"447,653",0,0,0,0,0,0,0,0
2016/2/16,"347,022",0,0,0,0,0,0,0,0
2016/2/17,"398,546",0,0,0,0,0,0,0,0
2016/2/18,"446,952",0,0,0,0,0,0,0,0
2016/2/19,"538,980",0,0,0,0,0,0,0,0
2016/2/20,"293,874",0,0,0,0,0,0,0,0
2016/2/21,"294,028",0,0,0,0,0,0,0,0
2016/2/22,"524,182",0,0,0,0,0,0,0,0
2016/2/23,"357,367",0,0,0,0,0,0,0,0
2016/2/24,"317,681",0,0,0,0,0,0,0,0
2016/2/25,"421,788",0,0,0,0,0,0,0,0
2016/2/26,"372,609",0,0,0,0,0,0,0,0
2016/2/27,"289,302",0,0,0,0,0,0,0,0
2016/2/28,"449,626",0,0,0,0,0,0,0,0
2016/2/29,"394,455",0,0,0,0,0,0,0,0
2016/3/1,"731,236",0,0,0,0,0,0,0,0
2016/3/2,"598,712",0,0,0,0,0,0,0,0
2016/3/3,"630,156",0,0,0,0,0,0,0,0
2016/3/4,"688,715",0,0,0,0,0,0,0,0
2016/3/5,"473,397",0,0,0,0,0,0,0,0
2016/3/6,"362,156",0,0,0,0,0,0,0,0
2016/3/7,"647,821",0,0,0,0,0,0,0,0
2016/3/8,"561,533",0,0,0,0,0,0,0,0
2016/3/9,"328,498",0,0,0,0,0,0,0,0
2016/3/10,"527,561",0,0,0,0,0,0,0,0
2016/3/11,"398,891",0,0,0,0,0,0,0,0
2016/3/12,"389,233",0,0,0,0,0,0,0,0
2016/3/13,"456,865",0,0,0,0,0,0,0,0
2016/3/14,"483,024",0,0,0,0,0,0,0,0
2016/3/15,"670,847",0,0,0,0,0,0,0,0
2016/3/16,"512,566",0,0,0,0,0,0,0,0
2016/3/17,"688,277",0,0,0,0,0,0,0,0
2016/3/18,"554,457",0,0,0,0,0,0,0,0
2016/3/19,"427,002",0,0,0,0,0,0,0,0
2016/3/20,"385,292",0,0,0,0,0,0,0,0
2016/3/21,"440,340",0,0,0,0,0,0,0,0
2016/3/22,"580,313",0,0,0,0,0,0,0,0
2016/3/23,"614,334",0,0,0,0,0,0,0,0
2016/3/24,"772,237",0,0,0,0,0,0,0,0
2016/3/25,"582,161",0,0,0,0,0,0,0,0
2016/3/26,"292,713",0,0,0,0,0,0,0,0
2016/3/27,"457,048",0,0,0,0,0,0,0,0
2016/3/28,"446,574",0,0,0,0,0,0,0,0
2016/3/29,"729,012",0,0,0,0,0,0,0,0
2016/3/30,"732,544",0,0,0,0,0,0,0,0
2016/3/31,"782,811",0,0,0,0,0,0,0,0
2016/4/1,"613,197",0,0,0,0,0,0,0,0
2016/4/2,"357,690",0,0,0,0,0,0,0,0
2016/4/3,"613,588",0,0,0,0,0,0,0,0
2016/4/4,"528,673",0,0,0,0,0,0,0,0
2016/4/5,"433,188",0,0,0,0,0,0,0,0
2016/4/6,"481,851",0,0,0,0,0,0,0,0
2016/4/7,"499,090",0,0,0,0,0,0,0,0
2016/4/8,"525,662",0,0,0,0,0,0,0,0
2016/4/9,"348,775",0,0,0,0,0,0,0,0
2016/4/10,"403,011",0,0,0,0,0,0,0,0
2016/4/11,"502,780",0,0,0,0,0,0,0,0
2016/4/12,"336,183",0,0,0,0,0,0,0,0
2016/4/13,"409,919",0,0,0,0,0,0,0,0
2016/4/14,"394,713",0,0,0,0,0,0,0,0
2016/4/15,"466,833",0,0,0,0,0,0,0,0
2016/4/16,"348,389",0,0,0,0,0,0,0,0
2016/4/17,"511,661",0,0,0,0,0,0,0,0
2016/4/18,"660,989",0,0,0,0,0,0,0,0
2016/4/19,"836,696",0,0,0,0,0,0,0,0
2016/4/20,"606,604",0,0,0,0,0,0,0,0
2016/4/21,"724,804",0,0,0,0,0,0,0,0
2016/4/22,"742,232",0,0,0,0,0,0,0,0
2016/4/23,"366,594",0,0,0,0,0,0,0,0
2016/4/24,"511,756",0,0,0,0,0,0,0,0
2016/4/25,"538,365",0,0,0,0,0,0,0,0
2016/4/26,"589,018",0,0,0,0,0,0,0,0
2016/4/27,"452,575",0,0,0,0,0,0,0,0
2016/4/28,"360,509",0,0,0,0,0,0,0,0
2016/4/29,"493,034",0,0,0,0,0,0,0,0
2016/4/30,"401,773",0,0,0,0,0,0,0,0
2016/5/1,"444,425",0,0,0,0,0,0,0,0
2016/5/2,"551,153",0,0,0,0,0,0,0,0
2016/5/3,"487,731",0,0,0,0,0,0,0,0
2016/5/4,"427,536",0,0,0,0,0,0,0,0
2016/5/5,"380,276",0,0,0,0,0,0,0,0
2016/5/6,"615,309",0,0,0,0,0,0,0,0
